recipe,temp_C,family,cycle,cycle_value,pred_nm
B211,-10,zmin,7,7.0,224.5493621826172
B211,-10,zmin,8,8.0,428.31195068359375
B211,-10,zmin,9,9.0,2293.494384765625
B212,-10,zmin,1,1.0,0.0
B212,-10,zmin,2,2.0,0.0
B212,-10,zmin,3,3.0,359.7392883300781
B212,-10,zmin,4,4.0,909.4010620117188
B212,-10,zmin,5,5.0,1439.79638671875
B212,-10,zmin,6,6.0,1919.274658203125
B212,-10,zmin,7,7.0,2357.944580078125
B212,-10,zmin,8,8.0,2818.883056640625
B212,-10,zmin,9,9.0,3663.542236328125
B213,-10,zmin,1,1.0,0.0
B213,-10,zmin,2,2.0,0.0
B213,-10,zmin,3,3.0,0.0
B213,-10,zmin,4,4.0,0.0
B213,-10,zmin,5,5.0,309.8310241699219
B213,-10,zmin,6,6.0,591.129638671875
B213,-10,zmin,7,7.0,861.6668090820312
B213,-10,zmin,8,8.0,1128.978515625
B213,-10,zmin,9,9.0,2670.570068359375
B214,-10,zmin,1,1.0,0.0
B214,-10,zmin,2,2.0,0.0
B214,-10,zmin,3,3.0,0.0
B214,-10,zmin,4,4.0,0.0
B214,-10,zmin,5,5.0,124.87626647949219
B214,-10,zmin,6,6.0,394.4500732421875
B214,-10,zmin,7,7.0,646.770263671875
B214,-10,zmin,8,8.0,888.1610717773438
B214,-10,zmin,9,9.0,2548.984619140625
B215,-10,zmin,1,1.0,0.0
B215,-10,zmin,2,2.0,208.52439880371094
B215,-10,zmin,3,3.0,687.035888671875
B215,-10,zmin,4,4.0,1101.7181396484375
B215,-10,zmin,5,5.0,1478.2259521484375
B215,-10,zmin,6,6.0,1825.5089111328125
B215,-10,zmin,7,7.0,2155.20947265625
B215,-10,zmin,8,8.0,2533.91943359375
B215,-10,zmin,9,9.0,3477.502197265625
B216,-10,zmin,1,1.0,0.0
B216,-10,zmin,2,2.0,0.0
B216,-10,zmin,3,3.0,0.0
B216,-10,zmin,4,4.0,0.0
B216,-10,zmin,5,5.0,0.0
B216,-10,zmin,6,6.0,0.0
B216,-10,zmin,7,7.0,174.51132202148438
B216,-10,zmin,8,8.0,385.76922607421875
B216,-10,zmin,9,9.0,2274.84326171875
B217,-10,zmin,1,1.0,0.0
